corruption,severity,top1_accuracy
brightness,1,81.5983
brightness,2,74.4312
brightness,3,68.3995
brightness,4,61.2591
brightness,5,55.0706
contrast,1,82.1354
contrast,2,76.9094
contrast,3,69.7687
contrast,4,63.9012
contrast,5,56.4823
defocus_blur,1,76.5738
defocus_blur,2,65.9998
defocus_blur,3,53.2408
defocus_blur,4,37.9880
defocus_blur,5,23.6945
elastic_transform,1,80.4175
elastic_transform,2,72.6904
elastic_transform,3,65.5722
elastic_transform,4,57.8057
elastic_transform,5,47.6043
fog,1,79.3091
fog,2,70.2213
fog,3,60.1307
fog,4,49.6288
fog,5,40.9108
frost,1,79.1583
frost,2,70.3532
frost,3,61.4466
frost,4,53.2440
frost,5,43.0323
gaussian_blur,1,76.7740
gaussian_blur,2,64.8976
gaussian_blur,3,52.2451
gaussian_blur,4,39.6844
gaussian_blur,5,24.9446
gaussian_noise,1,78.2094
gaussian_noise,2,68.3657
gaussian_noise,3,57.4466
gaussian_noise,4,44.3013
gaussian_noise,5,29.4901
glass_blur,1,75.6718
glass_blur,2,61.6761
glass_blur,3,48.2237
glass_blur,4,33.7800
glass_blur,5,18.3910
impulse_noise,1,78.8121
impulse_noise,2,69.1991
impulse_noise,3,60.5460
impulse_noise,4,48.0900
impulse_noise,5,35.1114
jpeg_compression,1,80.7087
jpeg_compression,2,73.6862
jpeg_compression,3,66.8025
jpeg_compression,4,60.3775
jpeg_compression,5,51.9399
motion_blur,1,75.9026
motion_blur,2,61.9402
motion_blur,3,49.9556
motion_blur,4,31.2298
motion_blur,5,14.3115
pixelate,1,80.5596
pixelate,2,72.2283
pixelate,3,63.9677
pixelate,4,55.2033
pixelate,5,46.4968
saturate,1,80.7672
saturate,2,72.6854
saturate,3,64.5584
saturate,4,56.7442
saturate,5,48.2026
shot_noise,1,76.9793
shot_noise,2,67.3372
shot_noise,3,56.0412
shot_noise,4,43.0444
shot_noise,5,31.4287
snow,1,78.2276
snow,2,69.4332
snow,3,58.6799
snow,4,47.4683
snow,5,36.3885
spatter,1,79.4332
spatter,2,70.5908
spatter,3,62.3071
spatter,4,53.3526
spatter,5,42.5936
speckle_noise,1,77.9784
speckle_noise,2,69.5855
speckle_noise,3,58.8459
speckle_noise,4,47.2079
speckle_noise,5,35.9789
zoom_blur,1,77.6595
zoom_blur,2,67.9807
zoom_blur,3,57.8324
zoom_blur,4,43.0517
zoom_blur,5,28.3341
