corruption,severity,top1_accuracy
brightness,1,81.5792
brightness,2,74.4177
brightness,3,68.4753
brightness,4,61.2023
brightness,5,55.0841
contrast,1,82.1040
contrast,2,76.9138
contrast,3,69.6995
contrast,4,63.9121
contrast,5,56.4382
defocus_blur,1,76.6944
defocus_blur,2,65.5873
defocus_blur,3,53.4211
defocus_blur,4,37.8381
defocus_blur,5,23.8287
elastic_transform,1,80.4596
elastic_transform,2,72.6189
elastic_transform,3,65.6570
elastic_transform,4,57.7210
elastic_transform,5,47.6289
fog,1,79.2887
fog,2,70.2476
fog,3,60.1240
fog,4,49.5577
fog,5,40.8672
frost,1,79.1175
frost,2,70.3068
frost,3,61.3414
frost,4,53.2013
frost,5,43.0482
gaussian_blur,1,76.7969
gaussian_blur,2,64.9370
gaussian_blur,3,52.0811
gaussian_blur,4,39.7359
gaussian_blur,5,24.9632
gaussian_noise,1,78.0907
gaussian_noise,2,68.6328
gaussian_noise,3,57.3020
gaussian_noise,4,44.1707
gaussian_noise,5,29.5943
glass_blur,1,75.6389
glass_blur,2,61.6351
glass_blur,3,48.2406
glass_blur,4,33.7182
glass_blur,5,18.4124
impulse_noise,1,78.7411
impulse_noise,2,69.1578
impulse_noise,3,60.4278
impulse_noise,4,48.3984
impulse_noise,5,34.8313
jpeg_compression,1,80.6860
jpeg_compression,2,73.6832
jpeg_compression,3,66.6354
jpeg_compression,4,60.3032
jpeg_compression,5,51.9265
motion_blur,1,75.6493
motion_blur,2,61.7287
motion_blur,3,49.2793
motion_blur,4,31.3579
motion_blur,5,14.2044
pixelate,1,80.5822
pixelate,2,72.2900
pixelate,3,63.9312
pixelate,4,55.1859
pixelate,5,46.4899
saturate,1,80.7705
saturate,2,72.6691
saturate,3,64.7083
saturate,4,56.7398
saturate,5,48.1550
shot_noise,1,76.9790
shot_noise,2,67.4222
shot_noise,3,56.0327
shot_noise,4,42.9558
shot_noise,5,31.4326
snow,1,78.2043
snow,2,69.4495
snow,3,58.6601
snow,4,47.5213
snow,5,36.3894
spatter,1,79.4340
spatter,2,70.6091
spatter,3,62.2119
spatter,4,53.3241
spatter,5,42.6012
speckle_noise,1,77.9636
speckle_noise,2,69.6539
speckle_noise,3,58.8134
speckle_noise,4,47.1558
speckle_noise,5,35.9784
zoom_blur,1,77.4782
zoom_blur,2,68.1302
zoom_blur,3,58.1662
zoom_blur,4,43.4531
zoom_blur,5,28.4011
