corruption,severity,top1_accuracy
brightness,1,81.5207
brightness,2,74.3939
brightness,3,68.1708
brightness,4,61.0982
brightness,5,55.0211
contrast,1,82.0767
contrast,2,76.7862
contrast,3,69.5140
contrast,4,63.8061
contrast,5,56.4252
defocus_blur,1,76.2574
defocus_blur,2,64.7650
defocus_blur,3,51.5412
defocus_blur,4,37.3154
defocus_blur,5,23.3119
elastic_transform,1,80.3751
elastic_transform,2,72.5305
elastic_transform,3,65.4366
elastic_transform,4,57.6363
elastic_transform,5,47.5571
fog,1,79.2398
fog,2,70.0859
fog,3,59.9266
fog,4,49.4489
fog,5,40.8285
frost,1,79.0853
frost,2,70.1599
frost,3,61.2550
frost,4,53.1251
frost,5,42.9849
gaussian_blur,1,76.7582
gaussian_blur,2,64.7737
gaussian_blur,3,51.9064
gaussian_blur,4,39.6066
gaussian_blur,5,24.8620
gaussian_noise,1,77.5597
gaussian_noise,2,67.5758
gaussian_noise,3,56.3069
gaussian_noise,4,43.2911
gaussian_noise,5,29.1215
glass_blur,1,75.6034
glass_blur,2,61.5298
glass_blur,3,48.0756
glass_blur,4,33.6504
glass_blur,5,18.3464
impulse_noise,1,78.2946
impulse_noise,2,68.4876
impulse_noise,3,58.7792
impulse_noise,4,47.1069
impulse_noise,5,34.3326
jpeg_compression,1,80.6428
jpeg_compression,2,73.5981
jpeg_compression,3,66.4821
jpeg_compression,4,60.2461
jpeg_compression,5,51.9122
motion_blur,1,75.1444
motion_blur,2,60.9748
motion_blur,3,48.3386
motion_blur,4,30.2765
motion_blur,5,13.8072
pixelate,1,80.4903
pixelate,2,72.1547
pixelate,3,63.7413
pixelate,4,55.0900
pixelate,5,46.4435
saturate,1,80.6934
saturate,2,72.5780
saturate,3,64.4321
saturate,4,56.6802
saturate,5,48.1443
shot_noise,1,76.9022
shot_noise,2,67.2597
shot_noise,3,55.8791
shot_noise,4,42.8971
shot_noise,5,31.3553
snow,1,78.1679
snow,2,69.3571
snow,3,58.4815
snow,4,47.3902
snow,5,36.3219
spatter,1,79.3874
spatter,2,70.4329
spatter,3,62.0858
spatter,4,53.2800
spatter,5,42.5477
speckle_noise,1,77.9141
speckle_noise,2,69.4641
speckle_noise,3,58.6310
speckle_noise,4,47.0346
speckle_noise,5,35.8982
zoom_blur,1,77.0229
zoom_blur,2,67.0312
zoom_blur,3,56.2153
zoom_blur,4,42.3130
zoom_blur,5,27.7987
