corruption,severity,top1_accuracy
brightness,1,81.5205
brightness,2,74.3976
brightness,3,68.2630
brightness,4,61.0823
brightness,5,55.0189
contrast,1,82.0911
contrast,2,76.8505
contrast,3,69.5412
contrast,4,63.7963
contrast,5,56.4027
defocus_blur,1,76.3537
defocus_blur,2,65.2345
defocus_blur,3,51.8027
defocus_blur,4,37.2217
defocus_blur,5,23.2918
elastic_transform,1,80.3861
elastic_transform,2,72.5780
elastic_transform,3,65.4408
elastic_transform,4,57.6613
elastic_transform,5,47.5711
fog,1,79.2721
fog,2,70.1406
fog,3,60.0320
fog,4,49.5230
fog,5,40.8374
frost,1,79.1122
frost,2,70.2147
frost,3,61.2549
frost,4,53.1441
frost,5,42.9914
gaussian_blur,1,76.7321
gaussian_blur,2,64.8192
gaussian_blur,3,52.0018
gaussian_blur,4,39.6246
gaussian_blur,5,24.9096
gaussian_noise,1,77.7452
gaussian_noise,2,67.5658
gaussian_noise,3,56.7689
gaussian_noise,4,43.3904
gaussian_noise,5,29.2003
glass_blur,1,75.6014
glass_blur,2,61.5528
glass_blur,3,48.1328
glass_blur,4,33.6698
glass_blur,5,18.3662
impulse_noise,1,78.3710
impulse_noise,2,68.6777
impulse_noise,3,59.3821
impulse_noise,4,47.5378
impulse_noise,5,34.5901
jpeg_compression,1,80.6567
jpeg_compression,2,73.6374
jpeg_compression,3,66.5557
jpeg_compression,4,60.2430
jpeg_compression,5,51.9142
motion_blur,1,75.2515
motion_blur,2,61.1547
motion_blur,3,48.2243
motion_blur,4,30.4052
motion_blur,5,14.0172
pixelate,1,80.5154
pixelate,2,72.1351
pixelate,3,63.7196
pixelate,4,55.1522
pixelate,5,46.4498
saturate,1,80.7026
saturate,2,72.5877
saturate,3,64.4978
saturate,4,56.7258
saturate,5,48.1384
shot_noise,1,76.9213
shot_noise,2,67.2800
shot_noise,3,55.9389
shot_noise,4,42.9004
shot_noise,5,31.3591
snow,1,78.1805
snow,2,69.3784
snow,3,58.5622
snow,4,47.4247
snow,5,36.3310
spatter,1,79.3956
spatter,2,70.4485
spatter,3,62.1188
spatter,4,53.2757
spatter,5,42.5649
speckle_noise,1,77.9191
speckle_noise,2,69.4694
speckle_noise,3,58.6546
speckle_noise,4,47.0352
speckle_noise,5,35.8893
zoom_blur,1,77.0550
zoom_blur,2,67.4318
zoom_blur,3,57.0183
zoom_blur,4,42.3619
zoom_blur,5,28.0909
